,Line
2838," She must have seen something of  this in my expression, for she turned abruptly away and ran up the  porch steps into the house"
2839," I sat down for a few minutes with my head  in my hands, until I heard the phone taken up inside and the butler’s  voice calling a taxi"
2840," Then I walked slowly down the drive away from  the house, intending to wait by the gate"
2841,    I hadn’t gone twenty yards when I heard my name and Gatsby stepped  from between two bushes into the path
2842," I must have felt pretty weird  by that time, because I could think of nothing except the luminosity  of his pink suit under the moon"
2843,    “What are you doing
2844,” I inquired
2845,"    “Just standing here, old sport"
2846,"”    Somehow, that seemed a despicable occupation"
2847," For all I knew he was  going to rob the house in a moment; I wouldn’t have been surprised to  see sinister faces, the faces of “Wolfshiem’s people,” behind him in  the dark shrubbery"
2848,    “Did you see any trouble on the road
2849,” he asked after a minute
2850,    “Yes
2851,”    He hesitated
2852,    “Was she killed
2853,”    “Yes
2854,”    “I thought so; I told Daisy I thought so
2855, It’s better that the shock  should all come at once
2856, She stood it pretty well
2857,”    He spoke as if Daisy’s reaction was the only thing that mattered
2858,"    “I got to West Egg by a side road,” he went on, “and left the car in  my garage"
2859," I don’t think anybody saw us, but of course I can’t be  sure"
2860,”    I disliked him so much by this time that I didn’t find it necessary to  tell him he was wrong
2861,    “Who was the woman
2862,” he inquired
2863,    “Her name was Wilson
2864, Her husband owns the garage
2865, How the devil did  it happen
2866,"”    “Well, I tried to swing the wheel—” He broke off, and suddenly I  guessed at the truth"
2867,    “Was Daisy driving
2868,"”    “Yes,” he said after a moment, “but of course I’ll say I was"
2869," You see,  when we left New York she was very nervous and she thought it would  steady her to drive—and this woman rushed out at us just as we were  passing a car coming the other way"
2870," It all happened in a minute, but  it seemed to me that she wanted to speak to us, thought we were  somebody she knew"
2871," Well, first Daisy turned away from the woman toward  the other car, and then she lost her nerve and turned back"
2872, The second  my hand reached the wheel I felt the shock—it must have killed her  instantly
2873,"”    “It ripped her open—”    “Don’t tell me, old sport"
2874,” He winced
2875, “Anyhow—Daisy stepped on it
2876," I  tried to make her stop, but she couldn’t, so I pulled on the emergency  brake"
2877, Then she fell over into my lap and I drove on
2878,"    “She’ll be all right tomorrow,” he said presently"
2879, “I’m just going to  wait here and see if he tries to bother her about that unpleasantness  this afternoon
2880," She’s locked herself into her room, and if he tries  any brutality she’s going to turn the light out and on again"
2881,"”    “He won’t touch her,” I said"
2882, “He’s not thinking about her
2883,"”    “I don’t trust him, old sport"
2884,”    “How long are you going to wait
2885,"”    “All night, if necessary"
2886," Anyhow, till they all go to bed"
2887,”    A new point of view occurred to me
2888, Suppose Tom found out that Daisy  had been driving
2889, He might think he saw a connection in it—he might  think anything
2890, I looked at the house; there were two or three bright  windows downstairs and the pink glow from Daisy’s room on the ground  floor
2891,"    “You wait here,” I said"
2892, “I’ll see if there’s any sign of a  commotion
2893,"”    I walked back along the border of the lawn, traversed the gravel  softly, and tiptoed up the veranda steps"
2894," The drawing-room curtains  were open, and I saw that the room was empty"
2895," Crossing the porch where  we had dined that June night three months before, I came to a small  rectangle of light which I guessed was the pantry window"
2896," The blind  was drawn, but I found a rift at the sill"
2897,"    Daisy and Tom were sitting opposite each other at the kitchen table,  with a plate of cold fried chicken between them, and two bottles of  ale"
2898," He was talking intently across the table at her, and in his  earnestness his hand had fallen upon and covered her own"
2899, Once in a  while she looked up at him and nodded in agreement
2900,"    They weren’t happy, and neither of them had touched the chicken or the  ale—and yet they weren’t unhappy either"
2901," There was an unmistakable air  of natural intimacy about the picture, and anybody would have said  that they were conspiring together"
2902,    As I tiptoed from the porch I heard my taxi feeling its way along the  dark road toward the house
2903, Gatsby was waiting where I had left him in  the drive
2904,    “Is it all quiet up there
2905,” he asked anxiously
2906,"    “Yes, it’s all quiet"
2907,” I hesitated
2908, “You’d better come home and get  some sleep
2909,”    He shook his head
2910,    “I want to wait here till Daisy goes to bed
2911," Good night, old sport"
2912,"”    He put his hands in his coat pockets and turned back eagerly to his  scrutiny of the house, as though my presence marred the sacredness of  the vigil"
2913, So I walked away and left him standing there in the  moonlight—watching over nothing
2914,"                                       VIII    I couldn’t sleep all night; a foghorn was groaning incessantly on the  Sound, and I tossed half-sick between grotesque reality and savage,  frightening dreams"
2915," Toward dawn I heard a taxi go up Gatsby’s drive,  and immediately I jumped out of bed and began to dress—I felt that I  had something to tell him, something to warn him about, and morning  would be too late"
2916,"    Crossing his lawn, I saw that his front door was still open and he was  leaning against a table in the hall, heavy with dejection or sleep"
2917,"    “Nothing happened,” he said wanly"
2918," “I waited, and about four o’clock  she came to the window and stood there for a minute and then turned  out the light"
2919,”    His house had never seemed so enormous to me as it did that night when  we hunted through the great rooms for cigarettes
2920," We pushed aside  curtains that were like pavilions, and felt over innumerable feet of  dark wall for electric light switches—once I tumbled with a sort of  splash upon the keys of a ghostly piano"
2921," There was an inexplicable  amount of dust everywhere, and the rooms were musty, as though they  hadn’t been aired for many days"
2922," I found the humidor on an unfamiliar  table, with two stale, dry cigarettes inside"
2923," Throwing open the French  windows of the drawing-room, we sat smoking out into the darkness"
2924,"    “You ought to go away,” I said"
2925, “It’s pretty certain they’ll trace  your car
2926,"”    “Go away now, old sport"
2927,"”    “Go to Atlantic City for a week, or up to Montreal"
2928,”    He wouldn’t consider it
2929, He couldn’t possibly leave Daisy until he  knew what she was going to do
2930, He was clutching at some last hope and  I couldn’t bear to shake him free
2931,"    It was this night that he told me the strange story of his youth with  Dan Cody—told it to me because “Jay Gatsby” had broken up like glass  against Tom’s hard malice, and the long secret extravaganza was played  out"
2932," I think that he would have acknowledged anything now, without  reserve, but he wanted to talk about Daisy"
2933,    She was the first “nice” girl he had ever known
2934," In various unrevealed  capacities he had come in contact with such people, but always with  indiscernible barbed wire between"
2935, He found her excitingly  desirable
2936," He went to her house, at first with other officers from  Camp Taylor, then alone"
2937, It amazed him—he had never been in such a  beautiful house before
2938," But what gave it an air of breathless  intensity, was that Daisy lived there—it was as casual a thing to her  as his tent out at camp was to him"
2939," There was a ripe mystery about it,  a hint of bedrooms upstairs more beautiful and cool than other  bedrooms, of gay and radiant activities taking place through its  corridors, and of romances that were not musty and laid away already  in lavender but fresh and breathing and redolent of this year’s  shining motorcars and of dances whose flowers were scarcely  withered"
2940," It excited him, too, that many men had already loved  Daisy—it increased her value in his eyes"
2941," He felt their presence all  about the house, pervading the air with the shades and echoes of still  vibrant emotions"
2942,    But he knew that he was in Daisy’s house by a colossal  accident
2943," However glorious might be his future as Jay Gatsby, he was  at present a penniless young man without a past, and at any moment the  invisible cloak of his uniform might slip from his shoulders"
2944, So he  made the most of his time
2945," He took what he could get, ravenously and  unscrupulously—eventually he took Daisy one still October night, took  her because he had no real right to touch her hand"
2946,"    He might have despised himself, for he had certainly taken her under  false pretences"
2947," I don’t mean that he had traded on his phantom  millions, but he had deliberately given Daisy a sense of security; he  let her believe that he was a person from much the same strata as  herself—that he was fully able to take care of her"
2948," As a matter of  fact, he had no such facilities—he had no comfortable family standing  behind him, and he was liable at the whim of an impersonal government  to be blown anywhere about the world"
2949,    But he didn’t despise himself and it didn’t turn out as he had  imagined
2950," He had intended, probably, to take what he could and go—but  now he found that he had committed himself to the following of a  grail"
2951," He knew that Daisy was extraordinary, but he didn’t realize  just how extraordinary a “nice” girl could be"
2952," She vanished into her  rich house, into her rich, full life, leaving Gatsby—nothing"
2953," He felt  married to her, that was all"
2954,"    When they met again, two days later, it was Gatsby who was breathless,  who was, somehow, betrayed"
2955, Her porch was bright with the bought  luxury of star-shine; the wicker of the settee squeaked fashionably as  she turned toward him and he kissed her curious and lovely mouth
2956," She  had caught a cold, and it made her voice huskier and more charming  than ever, and Gatsby was overwhelmingly aware of the youth and  mystery that wealth imprisons and preserves, of the freshness of many  clothes, and of Daisy, gleaming like silver, safe and proud above the  hot struggles of the poor"
2957,"    ------------------------------------------------------------------------    “I can’t describe to you how surprised I was to find out I loved her,  old sport"
2958," I even hoped for a while that she’d throw me over, but she  didn’t, because she was in love with me too"
2959," She thought I knew a lot  because I knew different things from her … Well, there I was, way off  my ambitions, getting deeper in love every minute, and all of a sudden  I didn’t care"
2960, What was the use of doing great things if I could have  a better time telling her what I was going to do
2961,"”    On the last afternoon before he went abroad, he sat with Daisy in his  arms for a long, silent time"
2962," It was a cold fall day, with fire in the  room and her cheeks flushed"
2963," Now and then she moved and he changed his  arm a little, and once he kissed her dark shining hair"
2964," The afternoon  had made them tranquil for a while, as if to give them a deep memory  for the long parting the next day promised"
2965," They had never been closer  in their month of love, nor communicated more profoundly one with  another, than when she brushed silent lips against his coat’s shoulder  or when he touched the end of her fingers, gently, as though she were  asleep"
2966,    ------------------------------------------------------------------------    He did extraordinarily well in the war
2967," He was a captain before he  went to the front, and following the Argonne battles he got his  majority and the command of the divisional machine-guns"
2968," After the  armistice he tried frantically to get home, but some complication or  misunderstanding sent him to Oxford instead"
2969, He was worried now—there  was a quality of nervous despair in Daisy’s letters
2970, She didn’t see  why he couldn’t come
2971," She was feeling the pressure of the world  outside, and she wanted to see him and feel his presence beside her  and be reassured that she was doing the right thing after all"
2972,"    For Daisy was young and her artificial world was redolent of orchids  and pleasant, cheerful snobbery and orchestras which set the rhythm of  the year, summing up the sadness and suggestiveness of life in new  tunes"
2973, All night the saxophones wailed the hopeless comment of the  “Beale Street Blues” while a hundred pairs of golden and silver  slippers shuffled the shining dust
2974," At the grey tea hour there were  always rooms that throbbed incessantly with this low, sweet fever,  while fresh faces drifted here and there like rose petals blown by the  sad horns around the floor"
2975,"    Through this twilight universe Daisy began to move again with the  season; suddenly she was again keeping half a dozen dates a day with  half a dozen men, and drowsing asleep at dawn with the beads and  chiffon of an evening-dress tangled among dying orchids on the floor  beside her bed"
2976, And all the time something within her was crying for a  decision
2977," She wanted her life shaped now, immediately—and the decision  must be made by some force—of love, of money, of unquestionable  practicality—that was close at hand"
2978,    That force took shape in the middle of spring with the arrival of Tom  Buchanan
2979," There was a wholesome bulkiness about his person and his  position, and Daisy was flattered"
2980, Doubtless there was a certain  struggle and a certain relief
2981, The letter reached Gatsby while he was  still at Oxford
2982,"    ------------------------------------------------------------------------    It was dawn now on Long Island and we went about opening the rest of  the windows downstairs, filling the house with grey-turning,  gold-turning light"
2983, The shadow of a tree fell abruptly across the dew  and ghostly birds began to sing among the blue leaves
2984," There was a  slow, pleasant movement in the air, scarcely a wind, promising a cool,  lovely day"
2985,    “I don’t think she ever loved him
2986,” Gatsby turned around from a window  and looked at me challengingly
2987," “You must remember, old sport, she was  very excited this afternoon"
2988, He told her those things in a way that  frightened her—that made it look as if I was some kind of cheap  sharper
2989, And the result was she hardly knew what she was saying
2990,”    He sat down gloomily
2991,"    “Of course she might have loved him just for a minute, when they were  first married—and loved me more even then, do you see"
2992,”    Suddenly he came out with a curious remark
2993,"    “In any case,” he said, “it was just personal"
2994,"”    What could you make of that, except to suspect some intensity in his  conception of the affair that couldn’t be measured"
2995,"    He came back from France when Tom and Daisy were still on their  wedding trip, and made a miserable but irresistible journey to  Louisville on the last of his army pay"
2996," He stayed there a week,  walking the streets where their footsteps had clicked together through  the November night and revisiting the out-of-the-way places to which  they had driven in her white car"
2997," Just as Daisy’s house had always  seemed to him more mysterious and gay than other houses, so his idea  of the city itself, even though she was gone from it, was pervaded  with a melancholy beauty"
2998,"    He left feeling that if he had searched harder, he might have found  her—that he was leaving her behind"
2999, The day-coach—he was penniless  now—was hot
3000," He went out to the open vestibule and sat down on a  folding-chair, and the station slid away and the backs of unfamiliar  buildings moved by"
3001," Then out into the spring fields, where a yellow  trolley raced them for a minute with people in it who might once have  seen the pale magic of her face along the casual street"
3002,"    The track curved and now it was going away from the sun, which, as it  sank lower, seemed to spread itself in benediction over the vanishing  city where she had drawn her breath"
3003," He stretched out his hand  desperately as if to snatch only a wisp of air, to save a fragment of  the spot that she had made lovely for him"
3004," But it was all going by too  fast now for his blurred eyes and he knew that he had lost that part  of it, the freshest and the best, forever"
3005,    It was nine o’clock when we finished breakfast and went out on the  porch
3006, The night had made a sharp difference in the weather and there  was an autumn flavour in the air
3007," The gardener, the last one of  Gatsby’s former servants, came to the foot of the steps"
3008,"    “I’m going to drain the pool today, Mr"
3009, Gatsby
3010," Leaves’ll start  falling pretty soon, and then there’s always trouble with the pipes"
3011,"”    “Don’t do it today,” Gatsby answered"
3012, He turned to me apologetically
3013,"  “You know, old sport, I’ve never used that pool all summer"
3014,”    I looked at my watch and stood up
3015,    “Twelve minutes to my train
3016,”    I didn’t want to go to the city
3017," I wasn’t worth a decent stroke of  work, but it was more than that—I didn’t want to leave Gatsby"
3018," I  missed that train, and then another, before I could get myself away"
3019,"    “I’ll call you up,” I said finally"
3020,"    “Do, old sport"
3021,”    “I’ll call you about noon
3022,”    We walked slowly down the steps
3023,    “I suppose Daisy’ll call too
3024,"” He looked at me anxiously, as if he  hoped I’d corroborate this"
3025,    “I suppose so
3026,"”    “Well, goodbye"
3027,”    We shook hands and I started away
3028, Just before I reached the hedge I  remembered something and turned around
3029,"    “They’re a rotten crowd,” I shouted across the lawn"
3030, “You’re worth the  whole damn bunch put together
3031,”    I’ve always been glad I said that
3032," It was the only compliment I ever  gave him, because I disapproved of him from beginning to end"
3033," First he  nodded politely, and then his face broke into that radiant and  understanding smile, as if we’d been in ecstatic cahoots on that fact  all the time"
3034," His gorgeous pink rag of a suit made a bright spot of  colour against the white steps, and I thought of the night when I  first came to his ancestral home, three months before"
3035," The lawn and  drive had been crowded with the faces of those who guessed at his  corruption—and he had stood on those steps, concealing his  incorruptible dream, as he waved them goodbye"
3036,    I thanked him for his hospitality
3037, We were always thanking him for  that—I and the others
3038,"    “Goodbye,” I called"
3039," “I enjoyed breakfast, Gatsby"
3040,"”    ------------------------------------------------------------------------    Up in the city, I tried for a while to list the quotations on an  interminable amount of stock, then I fell asleep in my swivel-chair"
3041,"  Just before noon the phone woke me, and I started up with sweat  breaking out on my forehead"
3042, It was Jordan Baker; she often called me  up at this hour because the uncertainty of her own movements between  hotels and clubs and private houses made her hard to find in any other  way
3043," Usually her voice came over the wire as something fresh and cool,  as if a divot from a green golf-links had come sailing in at the  office window, but this morning it seemed harsh and dry"
3044,"    “I’ve left Daisy’s house,” she said"
3045," “I’m at Hempstead, and I’m going  down to Southampton this afternoon"
3046,"”    Probably it had been tactful to leave Daisy’s house, but the act  annoyed me, and her next remark made me rigid"
3047,    “You weren’t so nice to me last night
3048,”    “How could it have mattered then
3049,”    Silence for a moment
3050, Then:    “However—I want to see you
3051,"”    “I want to see you, too"
3052,"”    “Suppose I don’t go to Southampton, and come into town this  afternoon"
3053,”    “No—I don’t think this afternoon
3054,”    “Very well
3055,”    “It’s impossible this afternoon
3056," Various—”    We talked like that for a while, and then abruptly we weren’t talking  any longer"
3057," I don’t know which of us hung up with a sharp click, but I  know I didn’t care"
3058, I couldn’t have talked to her across a tea-table  that day if I never talked to her again in this world
3059,"    I called Gatsby’s house a few minutes later, but the line was busy"
3060, I  tried four times; finally an exasperated central told me the wire was  being kept open for long distance from Detroit
3061," Taking out my  timetable, I drew a small circle around the three-fifty train"
3062, Then I  leaned back in my chair and tried to think
3063, It was just noon
3064,    ------------------------------------------------------------------------    When I passed the ash-heaps on the train that morning I had crossed  deliberately to the other side of the car
3065," I supposed there’d be a  curious crowd around there all day with little boys searching for dark  spots in the dust, and some garrulous man telling over and over what  had happened, until it became less and less real even to him and he  could tell it no longer, and Myrtle Wilson’s tragic achievement was  forgotten"
3066, Now I want to go back a little and tell what happened at  the garage after we left there the night before
3067,"    They had difficulty in locating the sister, Catherine"
3068," She must have  broken her rule against drinking that night, for when she arrived she  was stupid with liquor and unable to understand that the ambulance had  already gone to Flushing"
3069," When they convinced her of this, she  immediately fainted, as if that was the intolerable part of the  affair"
3070," Someone, kind or curious, took her in his car and drove her in  the wake of her sister’s body"
3071,"    Until long after midnight a changing crowd lapped up against the front  of the garage, while George Wilson rocked himself back and forth on  the couch inside"
3072," For a while the door of the office was open, and  everyone who came into the garage glanced irresistibly through it"
3073,"  Finally someone said it was a shame, and closed the door"
3074," Michaelis  and several other men were with him; first, four or five men, later  two or three men"
3075," Still later Michaelis had to ask the last stranger  to wait there fifteen minutes longer, while he went back to his own  place and made a pot of coffee"
3076," After that, he stayed there alone with  Wilson until dawn"
3077,    About three o’clock the quality of Wilson’s incoherent muttering  changed—he grew quieter and began to talk about the yellow car
3078," He  announced that he had a way of finding out whom the yellow car  belonged to, and then he blurted out that a couple of months ago his  wife had come from the city with her face bruised and her nose  swollen"
3079,"    But when he heard himself say this, he flinched and began to cry “Oh,  my God"
3080,” again in his groaning voice
3081, Michaelis made a clumsy attempt  to distract him
3082,"    “How long have you been married, George"
3083," Come on there, try and sit  still a minute, and answer my question"
3084, How long have you been  married
3085,”    “Twelve years
3086,”    “Ever had any children
3087," Come on, George, sit still—I asked you a  question"
3088, Did you ever have any children
3089,"”    The hard brown beetles kept thudding against the dull light, and  whenever Michaelis heard a car go tearing along the road outside it  sounded to him like the car that hadn’t stopped a few hours before"
3090,"  He didn’t like to go into the garage, because the work bench was  stained where the body had been lying, so he moved uncomfortably  around the office—he knew every object in it before morning—and from  time to time sat down beside Wilson trying to keep him more quiet"
3091,"    “Have you got a church you go to sometimes, George"
3092, Maybe even if you  haven’t been there for a long time
3093," Maybe I could call up the church  and get a priest to come over and he could talk to you, see"
3094,”    “Don’t belong to any
3095,"”    “You ought to have a church, George, for times like this"
3096, You must  have gone to church once
3097, Didn’t you get married in a church
3098," Listen,  George, listen to me"
3099, Didn’t you get married in a church
3100,”    “That was a long time ago
3101,”    The effort of answering broke the rhythm of his rocking—for a moment  he was silent
3102," Then the same half-knowing, half-bewildered look came  back into his faded eyes"
3103,"    “Look in the drawer there,” he said, pointing at the desk"
3104,    “Which drawer
3105,”    “That drawer—that one
3106,”    Michaelis opened the drawer nearest his hand
3107," There was nothing in it  but a small, expensive dog-leash, made of leather and braided  silver"
3108, It was apparently new
3109,    “This
3110,"” he inquired, holding it up"
3111,    Wilson stared and nodded
3112,    “I found it yesterday afternoon
3113," She tried to tell me about it, but I  knew it was something funny"
3114,”    “You mean your wife bought it
3115,”    “She had it wrapped in tissue paper on her bureau
3116,"”    Michaelis didn’t see anything odd in that, and he gave Wilson a dozen  reasons why his wife might have bought the dog-leash"
3117," But conceivably  Wilson had heard some of these same explanations before, from Myrtle,  because he began saying “Oh, my God"
3118,” again in a whisper—his comforter  left several explanations in the air
3119,"    “Then he killed her,” said Wilson"
3120, His mouth dropped open suddenly
3121,    “Who did
3122,”    “I have a way of finding out
3123,"”    “You’re morbid, George,” said his friend"
3124, “This has been a strain to  you and you don’t know what you’re saying
3125, You’d better try and sit  quiet till morning
3126,”    “He murdered her
3127,"”    “It was an accident, George"
3128,”    Wilson shook his head
3129, His eyes narrowed and his mouth widened  slightly with the ghost of a superior “Hm
3130,"”    “I know,” he said definitely"
3131," “I’m one of these trusting fellas and I  don’t think any harm to nobody, but when I get to know a thing I know  it"
3132, It was the man in that car
3133, She ran out to speak to him and he  wouldn’t stop
3134,"”    Michaelis had seen this too, but it hadn’t occurred to him that there  was any special significance in it"
3135, He believed that Mrs
3136," Wilson had  been running away from her husband, rather than trying to stop any  particular car"
3137,    “How could she of been like that
3138,"”    “She’s a deep one,” said Wilson, as if that answered the question"
3139,"  “Ah-h-h—”    He began to rock again, and Michaelis stood twisting the leash in his  hand"
3140,"    “Maybe you got some friend that I could telephone for, George"
3141,”    This was a forlorn hope—he was almost sure that Wilson had no friend:  there was not enough of him for his wife
3142," He was glad a little later  when he noticed a change in the room, a blue quickening by the window,  and realized that dawn wasn’t far off"
3143, About five o’clock it was blue  enough outside to snap off the light
3144,"    Wilson’s glazed eyes turned out to the ash-heaps, where small grey  clouds took on fantastic shapes and scurried here and there in the  faint dawn wind"
3145,"    “I spoke to her,” he muttered, after a long silence"
3146, “I told her she  might fool me but she couldn’t fool God
3147," I took her to the  window”—with an effort he got up and walked to the rear window and  leaned with his face pressed against it—“and I said ‘God knows what  you’ve been doing, everything you’ve been doing"
3148," You may fool me, but  you can’t fool God"
3149,"’ ”    Standing behind him, Michaelis saw with a shock that he was looking at  the eyes of Doctor T"
3150, J
3151," Eckleburg, which had just emerged, pale and  enormous, from the dissolving night"
3152,"    “God sees everything,” repeated Wilson"
3153,"    “That’s an advertisement,” Michaelis assured him"
3154, Something made him  turn away from the window and look back into the room
3155," But Wilson  stood there a long time, his face close to the window pane, nodding  into the twilight"
3156,"    ------------------------------------------------------------------------    By six o’clock Michaelis was worn out, and grateful for the sound of a  car stopping outside"
3157," It was one of the watchers of the night before  who had promised to come back, so he cooked breakfast for three, which  he and the other man ate together"
3158," Wilson was quieter now, and  Michaelis went home to sleep; when he awoke four hours later and  hurried back to the garage, Wilson was gone"
3159,"    His movements—he was on foot all the time—were afterward traced to  Port Roosevelt and then to Gad’s Hill, where he bought a sandwich that  he didn’t eat, and a cup of coffee"
3160," He must have been tired and  walking slowly, for he didn’t reach Gad’s Hill until noon"
3161," Thus far  there was no difficulty in accounting for his time—there were boys who  had seen a man “acting sort of crazy,” and motorists at whom he stared  oddly from the side of the road"
3162, Then for three hours he disappeared  from view
3163," The police, on the strength of what he said to Michaelis,  that he “had a way of finding out,” supposed that he spent that time  going from garage to garage thereabout, inquiring for a yellow car"
3164," On  the other hand, no garage man who had seen him ever came forward, and  perhaps he had an easier, surer way of finding out what he wanted to  know"
3165," By half-past two he was in West Egg, where he asked someone the  way to Gatsby’s house"
3166, So by that time he knew Gatsby’s name
3167,    ------------------------------------------------------------------------    At two o’clock Gatsby put on his bathing-suit and left word with the  butler that if anyone phoned word was to be brought to him at the  pool
3168," He stopped at the garage for a pneumatic mattress that had  amused his guests during the summer, and the chauffeur helped him to  pump it up"
3169," Then he gave instructions that the open car wasn’t to be  taken out under any circumstances—and this was strange, because the  front right fender needed repair"
3170,    Gatsby shouldered the mattress and started for the pool
3171," Once he  stopped and shifted it a little, and the chauffeur asked him if he  needed help, but he shook his head and in a moment disappeared among  the yellowing trees"
3172,"    No telephone message arrived, but the butler went without his sleep  and waited for it until four o’clock—until long after there was anyone  to give it to if it came"
3173," I have an idea that Gatsby himself didn’t  believe it would come, and perhaps he no longer cared"
3174," If that was  true he must have felt that he had lost the old warm world, paid a  high price for living too long with a single dream"
3175, He must have  looked up at an unfamiliar sky through frightening leaves and shivered  as he found what a grotesque thing a rose is and how raw the sunlight  was upon the scarcely created grass
3176," A new world, material without  being real, where poor ghosts, breathing dreams like air, drifted  fortuitously about … like that ashen, fantastic figure gliding toward  him through the amorphous trees"
3177,    The chauffeur—he was one of Wolfshiem’s protégés—heard the  shots—afterwards he could only say that he hadn’t thought anything  much about them
3178, I drove from the station directly to Gatsby’s house  and my rushing anxiously up the front steps was the first thing that  alarmed anyone
3179," But they knew then, I firmly believe"
3180," With scarcely a  word said, four of us, the chauffeur, butler, gardener, and I hurried  down to the pool"
3181,"    There was a faint, barely perceptible movement of the water as the  fresh flow from one end urged its way toward the drain at the other"
3182,"  With little ripples that were hardly the shadows of waves, the laden  mattress moved irregularly down the pool"
3183, A small gust of wind that  scarcely corrugated the surface was enough to disturb its accidental  course with its accidental burden
3184," The touch of a cluster of leaves  revolved it slowly, tracing, like the leg of transit, a thin red  circle in the water"
3185,"    It was after we started with Gatsby toward the house that the gardener  saw Wilson’s body a little way off in the grass, and the holocaust was  complete"
3186,"                                        IX    After two years I remember the rest of that day, and that night and  the next day, only as an endless drill of police and photographers and  newspaper men in and out of Gatsby’s front door"
3187," A rope stretched  across the main gate and a policeman by it kept out the curious, but  little boys soon discovered that they could enter through my yard, and  there were always a few of them clustered open-mouthed about the  pool"
3188," Someone with a positive manner, perhaps a detective, used the  expression “madman” as he bent over Wilson’s body that afternoon, and  the adventitious authority of his voice set the key for the newspaper  reports next morning"
3189,"    Most of those reports were a nightmare—grotesque, circumstantial,  eager, and untrue"
3190," When Michaelis’s testimony at the inquest brought  to light Wilson’s suspicions of his wife I thought the whole tale  would shortly be served up in racy pasquinade—but Catherine, who might  have said anything, didn’t say a word"
3191," She showed a surprising amount  of character about it too—looked at the coroner with determined eyes  under that corrected brow of hers, and swore that her sister had never  seen Gatsby, that her sister was completely happy with her husband,  that her sister had been into no mischief whatever"
3192," She convinced  herself of it, and cried into her handkerchief, as if the very  suggestion was more than she could endure"
3193, So Wilson was reduced to a  man “deranged by grief” in order that the case might remain in its  simplest form
3194, And it rested there
3195,    But all this part of it seemed remote and unessential
3196," I found myself  on Gatsby’s side, and alone"
3197," From the moment I telephoned news of the  catastrophe to West Egg village, every surmise about him, and every  practical question, was referred to me"
3198," At first I was surprised and  confused; then, as he lay in his house and didn’t move or breathe or  speak, hour upon hour, it grew upon me that I was responsible, because  no one else was interested—interested, I mean, with that intense  personal interest to which everyone has some vague right at the end"
3199,"    I called up Daisy half an hour after we found him, called her  instinctively and without hesitation"
3200," But she and Tom had gone away  early that afternoon, and taken baggage with them"
3201,    “Left no address
3202,”    “No
3203,”    “Say when they’d be back
3204,”    “No
3205,”    “Any idea where they are
3206, How I could reach them
3207,”    “I don’t know
3208, Can’t say
3209,”    I wanted to get somebody for him
3210," I wanted to go into the room where  he lay and reassure him: “I’ll get somebody for you, Gatsby"
3211, Don’t  worry
3212, Just trust me and I’ll get somebody for you—”    Meyer Wolfshiem’s name wasn’t in the phone book
3213," The butler gave me  his office address on Broadway, and I called Information, but by the  time I had the number it was long after five, and no one answered the  phone"
3214,    “Will you ring again
3215,”    “I’ve rung three times
3216,”    “It’s very important
3217,”    “Sorry
3218, I’m afraid no one’s there
3219,"”    I went back to the drawing-room and thought for an instant that they  were chance visitors, all these official people who suddenly filled  it"
3220," But, though they drew back the sheet and looked at Gatsby with  shocked eyes, his protest continued in my brain:    “Look here, old sport, you’ve got to get somebody for me"
3221, You’ve got  to try hard
3222, I can’t go through this alone
3223,"”    Someone started to ask me questions, but I broke away and going  upstairs looked hastily through the unlocked parts of his desk—he’d  never told me definitely that his parents were dead"
3224," But there was  nothing—only the picture of Dan Cody, a token of forgotten violence,  staring down from the wall"
3225,"    Next morning I sent the butler to New York with a letter to Wolfshiem,  which asked for information and urged him to come out on the next  train"
3226, That request seemed superfluous when I wrote it
3227," I was sure  he’d start when he saw the newspapers, just as I was sure there’d be a  wire from Daisy before noon—but neither a wire nor Mr"
3228, Wolfshiem  arrived; no one arrived except more police and photographers and  newspaper men
3229," When the butler brought back Wolfshiem’s answer I began  to have a feeling of defiance, of scornful solidarity between Gatsby  and me against them all"
3230,     Dear Mr
3231, Carraway
3232, This has been one of the most terrible shocks of   my life to me I hardly can believe it that it is true at all
3233, Such a   mad act as that man did should make us all think
3234, I cannot come down   now as I am tied up in some very important business and cannot get   mixed up in this thing now
3235, If there is anything I can do a little   later let me know in a letter by Edgar
3236, I hardly know where I am when   I hear about a thing like this and am completely knocked down and   out
3237,                                   Yours truly                                 Meyer Wolfshiem    and then hasty addenda beneath:     Let me know about the funeral etc do not know his family at all
3238,    When the phone rang that afternoon and Long Distance said Chicago was  calling I thought this would be Daisy at last
3239," But the connection came  through as a man’s voice, very thin and far away"
3240,    “This is Slagle speaking …”    “Yes
3241,” The name was unfamiliar
3242,"    “Hell of a note, isn’t it"
3243, Get my wire
3244,”    “There haven’t been any wires
3245,"”    “Young Parke’s in trouble,” he said rapidly"
3246, “They picked him up when  he handed the bonds over the counter
3247, They got a circular from New  York giving ’em the numbers just five minutes before
3248," What d’you know  about that, hey"
3249, You never can tell in these hick towns—”    “Hello
3250,” I interrupted breathlessly
3251, “Look here—this isn’t Mr
3252,  Gatsby
3253, Mr
3254, Gatsby’s dead
3255,"”    There was a long silence on the other end of the wire, followed by an  exclamation … then a quick squawk as the connection was broken"
3256,    ------------------------------------------------------------------------    I think it was on the third day that a telegram signed Henry C
3257, Gatz  arrived from a town in Minnesota
